#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
HSP90AA1,TP53,9606.ENSP00000335153,9606.ENSP00000269305,0,0,0,0,0,0.903,0,0.995,0.999
JUN,MAPK9,9606.ENSP00000360266,9606.ENSP00000394560,0,0,0,0,0,0.964,0.9,0.988,0.999
PRKN,SNCA,9606.ENSP00000355865,9606.ENSP00000500990,0,0,0,0,0,0.832,0.9,0.999,0.999
SFN,TP53,9606.ENSP00000340989,9606.ENSP00000269305,0,0,0,0,0,0.981,0.75,0.859,0.999
SIRT1,TP53,9606.ENSP00000212015,9606.ENSP00000269305,0,0,0,0,0,0.886,0.9,0.99,0.999
SQSTM1,TRAF6,9606.ENSP00000374455,9606.ENSP00000433623,0,0,0,0,0,0.928,0.9,0.992,0.999
TP53,TP53BP2,9606.ENSP00000269305,9606.ENSP00000341957,0,0,0,0,0,0.988,0.5,0.996,0.999
TP53,UBE3A,9606.ENSP00000269305,9606.ENSP00000497594,0,0,0,0,0,0.923,0.9,0.993,0.999
TP53,USP7,9606.ENSP00000269305,9606.ENSP00000343535,0,0,0,0,0,0.975,0.9,0.973,0.999
TP53,TP53BP1,9606.ENSP00000269305,9606.ENSP00000371475,0,0,0,0,0,0.993,0,0.997,0.999
FOSL1,FOSL2,9606.ENSP00000310170,9606.ENSP00000264716,0,0,0,0.91,0.085,0,0.9,0.984,0.998
FOS,FOSL2,9606.ENSP00000306245,9606.ENSP00000264716,0,0,0,0.895,0.132,0,0.9,0.984,0.998
FOS,FOSL1,9606.ENSP00000306245,9606.ENSP00000310170,0,0,0,0.866,0.048,0,0.9,0.984,0.998
FOSB,FOSL2,9606.ENSP00000245919,9606.ENSP00000264716,0,0,0,0.857,0.176,0,0.9,0.984,0.998
FOSB,FOSL1,9606.ENSP00000245919,9606.ENSP00000310170,0,0,0.072,0.814,0.1,0,0.9,0.985,0.998
HSPA8,HSPH1,9606.ENSP00000437125,9606.ENSP00000487365,0,0,0.164,0.728,0.5,0.855,0.4,0.955,0.998
MAP2K4,MAP3K7,9606.ENSP00000410402,9606.ENSP00000358335,0,0,0,0.613,0.093,0.971,0.9,0.343,0.998
MAP2K4,MAP3K5,9606.ENSP00000410402,9606.ENSP00000351908,0,0,0,0.599,0.112,0.792,0.9,0.937,0.998
AHSA1,STIP1,9606.ENSP00000216479,9606.ENSP00000351646,0,0,0,0,0.944,0.259,0,0.967,0.998
ENO1,TPI1,9606.ENSP00000495530,9606.ENSP00000229270,0.111,0,0,0,0.905,0.767,0.289,0.899,0.998
ENO1,GAPDH,9606.ENSP00000495530,9606.ENSP00000380070,0.079,0,0,0,0.897,0.765,0,0.925,0.998
PGK2,TPI1,9606.ENSP00000305995,9606.ENSP00000229270,0.115,0.899,0,0,0.83,0.051,0.34,0.881,0.998
PGAM1,PGK1,9606.ENSP00000359991,9606.ENSP00000362413,0,0,0,0,0.746,0.339,0.928,0.853,0.998
DNAJB1,HSPA1B,9606.ENSP00000254322,9606.ENSP00000364801,0.041,0,0.423,0,0.616,0.781,0.563,0.959,0.998
CHEK1,RAD51,9606.ENSP00000391090,9606.ENSP00000493712,0,0,0,0,0.573,0.553,0.75,0.973,0.998
DNAJA1,HSPA8,9606.ENSP00000369127,9606.ENSP00000437125,0.041,0,0.383,0,0.544,0.861,0.563,0.943,0.998
HSP90AA1,HSPA1B,9606.ENSP00000335153,9606.ENSP00000364801,0,0.001,0,0,0.367,0.868,0.5,0.964,0.998
HSPA9,VDAC1,9606.ENSP00000297185,9606.ENSP00000378487,0,0,0,0,0.352,0.208,0.5,0.996,0.998
FKBP4,HSPA4,9606.ENSP00000001008,9606.ENSP00000302961,0,0,0,0,0.288,0.33,0,0.996,0.998
DNAJC5,HSPA8,9606.ENSP00000354111,9606.ENSP00000437125,0.041,0,0.293,0,0.236,0.142,0.825,0.984,0.998
RIPK1,TRAF6,9606.ENSP00000259808,9606.ENSP00000433623,0,0,0,0,0.164,0.126,0.9,0.986,0.998
BIRC3,TRADD,9606.ENSP00000263464,9606.ENSP00000341268,0,0,0,0,0.122,0,0.8,0.992,0.998
CCNG1,TP53,9606.ENSP00000344635,9606.ENSP00000269305,0,0,0,0,0.117,0.525,0.75,0.983,0.998
AURKA,TP53,9606.ENSP00000216911,9606.ENSP00000269305,0,0,0,0,0.116,0.81,0.75,0.978,0.998
HSPA8,HSPBP1,9606.ENSP00000437125,9606.ENSP00000255631,0,0,0,0,0.116,0.883,0,0.984,0.998
HIF1A,HSP90AB1,9606.ENSP00000437955,9606.ENSP00000360609,0,0,0,0,0.112,0.779,0,0.994,0.998
HDAC1,RELA,9606.ENSP00000362649,9606.ENSP00000384273,0,0,0,0,0.111,0.897,0,0.981,0.998
HSPA4,HSPBP1,9606.ENSP00000302961,9606.ENSP00000255631,0,0,0,0,0.105,0.618,0,0.997,0.998
AKT1,FOXO3,9606.ENSP00000451828,9606.ENSP00000339527,0,0,0,0,0.103,0.853,0.9,0.928,0.998
CLTC,DNAJC6,9606.ENSP00000479606,9606.ENSP00000360108,0,0,0,0,0.103,0.983,0.5,0.86,0.998
ATF2,MAPK8,9606.ENSP00000264110,9606.ENSP00000378974,0,0,0,0,0.102,0.992,0.4,0.722,0.998
ATF2,MAPK14,9606.ENSP00000264110,9606.ENSP00000229795,0,0,0,0,0.088,0.963,0.9,0.522,0.998
DUSP16,MAPK8,9606.ENSP00000298573,9606.ENSP00000378974,0,0,0,0,0.086,0.966,0.9,0.638,0.998
HSPA8,SGTA,9606.ENSP00000437125,9606.ENSP00000221566,0,0,0,0,0.086,0.811,0,0.994,0.998
BCL2L1,VDAC1,9606.ENSP00000365230,9606.ENSP00000378487,0,0,0,0,0.066,0.786,0,0.995,0.998
F8A2,HTT,9606.ENSP00000358518,9606.ENSP00000347184,0,0,0,0,0.063,0.96,0,0.974,0.998
DUSP1,MAPK14,9606.ENSP00000239223,9606.ENSP00000229795,0,0,0,0,0.06,0.831,0.9,0.902,0.998
EP300,NFKB1,9606.ENSP00000263253,9606.ENSP00000226574,0,0,0,0,0.058,0.833,0.5,0.981,0.998
BCL2,BID,9606.ENSP00000381185,9606.ENSP00000318822,0,0,0,0,0.055,0.872,0.9,0.92,0.998
CDKN2A,MYC,9606.ENSP00000418915,9606.ENSP00000478887,0,0,0,0,0.055,0.783,0.9,0.929,0.998
EGFR,HSP90AB1,9606.ENSP00000275493,9606.ENSP00000360609,0,0,0,0,0.054,0.837,0,0.993,0.998
HSP90AB1,NR3C1,9606.ENSP00000360609,9606.ENSP00000231509,0,0,0,0,0.054,0.548,0.5,0.994,0.998
CREB1,FOS,9606.ENSP00000387699,9606.ENSP00000306245,0,0,0,0,0.052,0,0.5,0.996,0.998
HMGB1,TLR2,9606.ENSP00000345347,9606.ENSP00000260010,0,0,0,0,0.051,0.297,0.5,0.996,0.998
ATM,CHEK1,9606.ENSP00000278616,9606.ENSP00000391090,0,0,0,0,0.05,0.449,0.9,0.974,0.998
HSPA9,TP53,9606.ENSP00000297185,9606.ENSP00000269305,0,0,0,0,0.05,0.836,0,0.99,0.998
ATR,CHEK2,9606.ENSP00000343741,9606.ENSP00000372023,0,0,0,0,0.049,0.97,0,0.955,0.998
BECN1,ITPR1,9606.ENSP00000355231,9606.ENSP00000306253,0,0,0,0,0.049,0.292,0.9,0.978,0.998
CREB1,TP53,9606.ENSP00000387699,9606.ENSP00000269305,0,0,0,0,0.049,0.776,0,0.992,0.998
HSF1,HSP90AA1,9606.ENSP00000431512,9606.ENSP00000335153,0,0,0,0,0.049,0.87,0.7,0.956,0.998
BCL2,VDAC1,9606.ENSP00000381185,9606.ENSP00000378487,0,0,0,0,0.045,0.297,0.72,0.995,0.998
MAPK1,TP53,9606.ENSP00000215832,9606.ENSP00000269305,0,0,0,0,0.045,0.806,0.9,0.912,0.998
BCL2,SOD1,9606.ENSP00000381185,9606.ENSP00000270142,0,0,0,0,0,0.329,0.9,0.976,0.998
CREB1,JUN,9606.ENSP00000387699,9606.ENSP00000360266,0,0,0,0,0,0.4,0,0.997,0.998
ESR1,MED1,9606.ENSP00000405330,9606.ENSP00000300651,0,0,0,0,0,0.844,0.9,0.934,0.998
ESR1,HDAC1,9606.ENSP00000405330,9606.ENSP00000362649,0,0,0,0,0,0.832,0.5,0.987,0.998
FOXO3,TP53,9606.ENSP00000339527,9606.ENSP00000269305,0,0,0,0,0,0.776,0,0.991,0.998
HSPA1B,TLR2,9606.ENSP00000364801,9606.ENSP00000260010,0,0,0,0,0,0.102,0.9,0.988,0.998
HTT,TP53,9606.ENSP00000347184,9606.ENSP00000269305,0,0,0,0,0,0.307,0.8,0.989,0.998
JUN,MAPK1,9606.ENSP00000360266,9606.ENSP00000215832,0,0,0,0,0,0.771,0.9,0.958,0.998
NDN,TP53,9606.ENSP00000497916,9606.ENSP00000269305,0,0,0,0,0,0.782,0.75,0.98,0.998
RCHY1,TP53,9606.ENSP00000321239,9606.ENSP00000269305,0,0,0,0,0,0.887,0.9,0.897,0.998
TRADD,TRAF6,9606.ENSP00000341268,9606.ENSP00000433623,0,0,0,0,0,0.292,0.9,0.977,0.998
HSP90AA1,HSP90AB1,9606.ENSP00000335153,9606.ENSP00000360609,0,0,0.048,0.984,0.783,0.896,0.9,0.048,0.997
SDHB,UQCRC2,9606.ENSP00000364649,9606.ENSP00000268379,0,0,0,0,0.832,0.235,0.281,0.976,0.997
ENO1,PKM,9606.ENSP00000495530,9606.ENSP00000320171,0.069,0,0,0,0.711,0,0.927,0.869,0.997
GPI,TKT,9606.ENSP00000405573,9606.ENSP00000391481,0.115,0.046,0,0,0.592,0.187,0.965,0.759,0.997
ALDOA,TPI1,9606.ENSP00000496166,9606.ENSP00000229270,0.045,0,0,0,0.515,0.292,0.956,0.867,0.997
DNAJB1,STIP1,9606.ENSP00000254322,9606.ENSP00000351646,0,0,0,0,0.486,0.286,0.5,0.985,0.997
LDHA,PKM,9606.ENSP00000445175,9606.ENSP00000320171,0.057,0,0,0,0.436,0.473,0.921,0.89,0.997
AP2B1,CLTC,9606.ENSP00000483185,9606.ENSP00000479606,0,0,0,0,0.31,0.853,0.9,0.802,0.997
GRPEL1,TIMM44,9606.ENSP00000264954,9606.ENSP00000270538,0,0,0,0,0.307,0.735,0.54,0.97,0.997
HSP90AA1,ST13,9606.ENSP00000335153,9606.ENSP00000216218,0,0,0,0,0.179,0.632,0,0.993,0.997
NPM1,TP53,9606.ENSP00000296930,9606.ENSP00000269305,0,0,0,0,0.124,0.847,0.5,0.967,0.997
CREBBP,HTT,9606.ENSP00000262367,9606.ENSP00000347184,0,0,0,0,0.123,0.832,0,0.982,0.997
BAG2,HSPA4,9606.ENSP00000359727,9606.ENSP00000302961,0,0,0,0,0.121,0.65,0.4,0.989,0.997
CCNA2,TP53,9606.ENSP00000481380,9606.ENSP00000269305,0,0,0,0,0.099,0.292,0.5,0.994,0.997
TBP,TP53,9606.ENSP00000230354,9606.ENSP00000269305,0,0,0,0,0.095,0.867,0.4,0.972,0.997
HMGB1,TP53,9606.ENSP00000345347,9606.ENSP00000269305,0,0,0,0,0.089,0.976,0,0.876,0.997
MAPK8,TP53,9606.ENSP00000378974,9606.ENSP00000269305,0,0,0,0,0.086,0.845,0.9,0.861,0.997
HSPA4,ST13,9606.ENSP00000302961,9606.ENSP00000216218,0,0,0,0,0.075,0.522,0.4,0.993,0.997
CHEK1,TP53,9606.ENSP00000391090,9606.ENSP00000269305,0,0,0,0,0.074,0.783,0.9,0.906,0.997
APAF1,HSPA4,9606.ENSP00000448165,9606.ENSP00000302961,0,0,0,0,0.068,0.625,0,0.992,0.997
MYC,TP53,9606.ENSP00000478887,9606.ENSP00000269305,0,0,0,0,0.067,0.3,0,0.997,0.997
GAPDH,SIAH1,9606.ENSP00000380070,9606.ENSP00000349156,0,0,0,0,0.064,0.749,0,0.99,0.997
CREB1,TAF4,9606.ENSP00000387699,9606.ENSP00000252996,0,0,0,0,0.063,0.292,0.8,0.985,0.997
AGO2,HSP90AA1,9606.ENSP00000220592,9606.ENSP00000335153,0,0,0,0,0.062,0.77,0,0.989,0.997
DNMT1,TP53,9606.ENSP00000352516,9606.ENSP00000269305,0,0,0,0,0.059,0.597,0,0.994,0.997
FN1,PLG,9606.ENSP00000346839,9606.ENSP00000308938,0,0,0,0,0.055,0.292,0,0.996,0.997
BAK1,TP53,9606.ENSP00000363591,9606.ENSP00000269305,0,0,0,0,0.054,0.791,0.9,0.866,0.997
ATM,KAT5,9606.ENSP00000278616,9606.ENSP00000340330,0,0,0,0,0.053,0.63,0.9,0.936,0.997
EGFR,KRAS,9606.ENSP00000275493,9606.ENSP00000256078,0,0,0,0,0.053,0.662,0.9,0.918,0.997
MAP2K7,MAPK8IP2,9606.ENSP00000381070,9606.ENSP00000330572,0,0,0,0,0.053,0.555,0.9,0.939,0.997
HSPA4,TP53,9606.ENSP00000302961,9606.ENSP00000269305,0,0,0,0,0.05,0.866,0,0.979,0.997
BAG2,STUB1,9606.ENSP00000359727,9606.ENSP00000219548,0,0,0,0,0.049,0.777,0.54,0.976,0.997
CRK,EGFR,9606.ENSP00000300574,9606.ENSP00000275493,0,0,0,0,0.049,0.846,0.9,0.855,0.997
FOXO3,HIF1A,9606.ENSP00000339527,9606.ENSP00000437955,0,0,0,0,0.049,0.311,0.4,0.995,0.997
JUN,SMAD3,9606.ENSP00000360266,9606.ENSP00000332973,0,0,0,0,0.049,0.786,0,0.989,0.997
HTT,OPTN,9606.ENSP00000347184,9606.ENSP00000368022,0,0,0,0,0.048,0.777,0,0.99,0.997
RIPK1,SQSTM1,9606.ENSP00000259808,9606.ENSP00000374455,0,0,0,0,0.044,0.6,0.9,0.933,0.997
PRKDC,TP53,9606.ENSP00000313420,9606.ENSP00000269305,0,0,0,0,0.042,0.869,0.9,0.807,0.997
BAG1,BAG2,9606.ENSP00000489189,9606.ENSP00000359727,0,0,0,0,0,0,0.9,0.978,0.997
DDX5,TP53,9606.ENSP00000225792,9606.ENSP00000269305,0,0,0,0,0,0.78,0,0.987,0.997
ENO1,PLG,9606.ENSP00000495530,9606.ENSP00000308938,0,0,0,0,0,0.292,0,0.996,0.997
EP300,ESR1,9606.ENSP00000263253,9606.ENSP00000405330,0,0,0,0,0,0.926,0.5,0.943,0.997
JUN,TP53,9606.ENSP00000360266,9606.ENSP00000269305,0,0,0,0,0,0.324,0.5,0.992,0.997
BIRC2,BIRC3,9606.ENSP00000477613,9606.ENSP00000263464,0,0,0.053,0.975,0.159,0.292,0.9,0.952,0.996
MAPK8IP1,MAPK8IP2,9606.ENSP00000241014,9606.ENSP00000330572,0,0,0,0.842,0.126,0.786,0.9,0.814,0.996
MAP3K7,RIPK1,9606.ENSP00000358335,9606.ENSP00000259808,0,0,0,0.587,0.049,0.735,0.9,0.883,0.996
MAP2K7,MAPK8,9606.ENSP00000381070,9606.ENSP00000378974,0,0,0,0.573,0.073,0.92,0.9,0.607,0.996
ENO1,PGK1,9606.ENSP00000495530,9606.ENSP00000362413,0.079,0,0,0,0.803,0.676,0.277,0.927,0.996
ENO1,PGAM1,9606.ENSP00000495530,9606.ENSP00000359991,0.057,0,0,0,0.619,0.226,0.925,0.852,0.996
BRCA1,CHEK1,9606.ENSP00000418960,9606.ENSP00000391090,0,0,0,0,0.389,0.676,0.5,0.965,0.996
RAD51,RPA1,9606.ENSP00000493712,9606.ENSP00000254719,0.061,0,0,0,0.338,0.936,0.5,0.837,0.996
HSP90AA1,HSPA1L,9606.ENSP00000335153,9606.ENSP00000364805,0,0.001,0,0,0.304,0.975,0.5,0.684,0.996
SOD1,VDAC1,9606.ENSP00000270142,9606.ENSP00000378487,0,0,0,0,0.27,0,0.9,0.95,0.996
CTNNBL1,PLRG1,9606.ENSP00000355050,9606.ENSP00000424417,0,0,0,0,0.257,0.92,0.8,0.746,0.996
CD40,TRAF2,9606.ENSP00000361359,9606.ENSP00000247668,0,0,0,0,0.127,0.927,0.9,0.558,0.996
AKT1,SMAD3,9606.ENSP00000451828,9606.ENSP00000332973,0,0,0,0,0.117,0.618,0,0.989,0.996
ATR,BRCA1,9606.ENSP00000343741,9606.ENSP00000418960,0,0,0,0,0.106,0.838,0.9,0.812,0.996
SRC,TRAF6,9606.ENSP00000362680,9606.ENSP00000433623,0,0,0,0,0.106,0.644,0,0.991,0.996
CLTCL1,DNAJC6,9606.ENSP00000441158,9606.ENSP00000360108,0,0,0,0,0.105,0.969,0,0.885,0.996
JUN,SP1,9606.ENSP00000360266,9606.ENSP00000329357,0,0,0,0,0.102,0.794,0.9,0.826,0.996
NCOR1,SIRT1,9606.ENSP00000268712,9606.ENSP00000212015,0,0,0,0,0.091,0.635,0,0.989,0.996
BECN1,BIRC2,9606.ENSP00000355231,9606.ENSP00000477613,0,0,0,0,0.085,0.994,0,0.354,0.996
BCL2,ITPR1,9606.ENSP00000381185,9606.ENSP00000306253,0,0,0,0,0.082,0.51,0,0.992,0.996
DAXX,SP100,9606.ENSP00000266000,9606.ENSP00000343023,0,0,0,0,0.071,0.071,0,0.996,0.996
CREB1,PPARGC1A,9606.ENSP00000387699,9606.ENSP00000264867,0,0,0,0,0.069,0,0.9,0.963,0.996
DUSP1,MAPK1,9606.ENSP00000239223,9606.ENSP00000215832,0,0,0,0,0.06,0.828,0.9,0.818,0.996
HIF1A,PKM,9606.ENSP00000437955,9606.ENSP00000320171,0,0,0,0,0.06,0.301,0,0.995,0.996
CCAR2,HSPA8,9606.ENSP00000310670,9606.ENSP00000437125,0,0,0,0,0.058,0.994,0.5,0.055,0.996
HDAC1,NFKB1,9606.ENSP00000362649,9606.ENSP00000226574,0,0,0,0,0.058,0.841,0,0.981,0.996
HSPA8,HSPB8,9606.ENSP00000437125,9606.ENSP00000281938,0,0,0,0,0.054,0.071,0.54,0.992,0.996
ITPR1,VDAC1,9606.ENSP00000306253,9606.ENSP00000378487,0,0,0,0,0.05,0.241,0,0.995,0.996
APAF1,BCL2L1,9606.ENSP00000448165,9606.ENSP00000365230,0,0,0,0,0.049,0.639,0,0.991,0.996
BAG1,BCL2,9606.ENSP00000489189,9606.ENSP00000381185,0,0,0,0,0.049,0.477,0,0.993,0.996
CHEK2,TP53BP1,9606.ENSP00000372023,9606.ENSP00000371475,0,0,0,0,0.049,0.883,0.5,0.951,0.996
FKBP4,NR3C1,9606.ENSP00000001008,9606.ENSP00000231509,0,0,0,0,0.049,0.643,0.8,0.954,0.996
ATR,TP53,9606.ENSP00000343741,9606.ENSP00000269305,0,0,0,0,0,0.838,0.9,0.781,0.996
HSP90B1,LRP1,9606.ENSP00000299767,9606.ENSP00000243077,0,0,0,0,0,0.091,0,0.996,0.996
HSPA4,TLR4,9606.ENSP00000302961,9606.ENSP00000363089,0,0,0,0,0,0.337,0,0.995,0.996
KAT5,TP53,9606.ENSP00000340330,9606.ENSP00000269305,0,0,0,0,0,0.837,0.5,0.961,0.996
MAPK1,MAPK14,9606.ENSP00000215832,9606.ENSP00000229795,0,0,0.067,0.924,0.342,0.816,0.9,0.677,0.995
TRAF2,TRAF6,9606.ENSP00000247668,9606.ENSP00000433623,0,0,0,0.728,0.067,0.829,0.9,0.767,0.995
MAP2K4,MAP3K1,9606.ENSP00000410402,9606.ENSP00000382423,0,0,0,0.613,0.104,0.857,0.9,0.673,0.995
AKT1,SRC,9606.ENSP00000451828,9606.ENSP00000362680,0,0,0.171,0.566,0.088,0.601,0.5,0.977,0.995
GAPDH,GPI,9606.ENSP00000380070,9606.ENSP00000405573,0.115,0,0,0,0.736,0,0.8,0.921,0.995
GPI,TALDO1,9606.ENSP00000405573,9606.ENSP00000321259,0.231,0,0,0,0.618,0,0.946,0.759,0.995
GPI,TKTL2,9606.ENSP00000405573,9606.ENSP00000280605,0.115,0.058,0,0,0.567,0,0.965,0.693,0.995
GPI,TKTL1,9606.ENSP00000405573,9606.ENSP00000358931,0.115,0,0,0,0.567,0,0.965,0.7,0.995
CDC37,STIP1,9606.ENSP00000222005,9606.ENSP00000351646,0,0,0,0,0.377,0.48,0.9,0.881,0.995
HSP90AB1,ST13,9606.ENSP00000360609,9606.ENSP00000216218,0,0,0,0,0.248,0.078,0,0.993,0.995
BCAS2,CTNNBL1,9606.ENSP00000358554,9606.ENSP00000355050,0,0,0,0,0.247,0.706,0.8,0.905,0.995
ALDOB,GAPDH,9606.ENSP00000497767,9606.ENSP00000380070,0.079,0,0,0,0.246,0.091,0.938,0.911,0.995
CDC37,HSPA4,9606.ENSP00000222005,9606.ENSP00000302961,0,0,0,0,0.224,0.1,0,0.993,0.995
HSPA1L,STIP1,9606.ENSP00000364805,9606.ENSP00000351646,0,0,0,0,0.192,0.973,0.5,0.616,0.995
CREBBP,FOXO3,9606.ENSP00000262367,9606.ENSP00000339527,0,0,0,0,0.161,0.971,0.5,0.627,0.995
AKT1,CDC37,9606.ENSP00000451828,9606.ENSP00000222005,0,0,0,0,0.15,0.743,0.9,0.833,0.995
HSPA1B,HSPBP1,9606.ENSP00000364801,9606.ENSP00000255631,0,0,0,0,0.109,0.985,0,0.629,0.995
BAG2,HSPH1,9606.ENSP00000359727,9606.ENSP00000487365,0,0,0,0,0.103,0.128,0.9,0.954,0.995
ATM,MDM2,9606.ENSP00000278616,9606.ENSP00000258149,0,0,0,0,0.092,0.621,0.75,0.955,0.995
CREBBP,SMAD3,9606.ENSP00000262367,9606.ENSP00000332973,0,0,0,0,0.087,0.872,0,0.964,0.995
HTT,ITPR1,9606.ENSP00000347184,9606.ENSP00000306253,0,0,0,0,0.081,0.297,0.9,0.944,0.995
CDKN1A,FOXO3,9606.ENSP00000384849,9606.ENSP00000339527,0,0,0,0,0.072,0.294,0,0.994,0.995
HSPA9,ITPR1,9606.ENSP00000297185,9606.ENSP00000306253,0,0,0,0,0.062,0.206,0,0.995,0.995
FOXO3,SMAD3,9606.ENSP00000339527,9606.ENSP00000332973,0,0,0,0,0.06,0.634,0.9,0.896,0.995
HSP90AB1,TP53,9606.ENSP00000360609,9606.ENSP00000269305,0,0,0,0,0.057,0.248,0,0.994,0.995
NCOR1,NR3C1,9606.ENSP00000268712,9606.ENSP00000231509,0,0,0,0,0.057,0.978,0.5,0.622,0.995
BECN1,TRAF2,9606.ENSP00000355231,9606.ENSP00000247668,0,0,0,0,0.054,0.994,0,0.295,0.995
FN1,TLR4,9606.ENSP00000346839,9606.ENSP00000363089,0,0,0,0,0.049,0,0,0.995,0.995
FOXO3,MDM2,9606.ENSP00000339527,9606.ENSP00000258149,0,0,0,0,0.049,0.742,0,0.982,0.995
HTT,ZDHHC17,9606.ENSP00000347184,9606.ENSP00000403397,0,0,0,0,0.049,0.711,0,0.986,0.995
JUND,MAPK8,9606.ENSP00000252818,9606.ENSP00000378974,0,0,0,0,0.049,0.701,0.9,0.847,0.995
MAPK8,NFATC3,9606.ENSP00000378974,9606.ENSP00000300659,0,0,0,0,0.049,0.935,0.9,0.278,0.995
RELA,SIRT1,9606.ENSP00000384273,9606.ENSP00000212015,0,0,0,0,0.049,0.646,0.9,0.89,0.995
DAXX,MDM2,9606.ENSP00000266000,9606.ENSP00000258149,0,0,0,0,0.047,0.842,0.5,0.953,0.995
HSP90AB1,SRC,9606.ENSP00000360609,9606.ENSP00000362680,0,0,0,0,0.042,0.301,0,0.993,0.995
AKT1,CDKN1A,9606.ENSP00000451828,9606.ENSP00000384849,0,0,0,0,0,0.776,0.9,0.833,0.995
APP,MAPT,9606.ENSP00000284981,9606.ENSP00000340820,0,0,0,0,0,0.697,0,0.985,0.995
ATM,RAD51,9606.ENSP00000278616,9606.ENSP00000493712,0,0,0,0,0,0.485,0.8,0.958,0.995
BECN1,BIRC3,9606.ENSP00000355231,9606.ENSP00000263464,0,0,0,0,0,0.994,0,0.268,0.995
HSPB1,MAPKAPK5,9606.ENSP00000248553,9606.ENSP00000449381,0,0,0,0,0,0.739,0.9,0.841,0.995
HSPA1A,HSPA1B,9606.ENSP00000364802,9606.ENSP00000364801,0,0,0.046,0.988,0.775,0.9,0.5,0.551,0.994
CD63,CD81,9606.ENSP00000447730,9606.ENSP00000263645,0,0,0,0.672,0.085,0.303,0,0.991,0.994
ENO1,GPI,9606.ENSP00000495530,9606.ENSP00000405573,0.111,0,0,0,0.808,0.207,0.823,0.812,0.994
GAPDHS,PGK2,9606.ENSP00000222286,9606.ENSP00000305995,0.091,0.01,0,0,0.693,0.104,0.942,0.7,0.994
TALDO1,TPI1,9606.ENSP00000321259,9606.ENSP00000229270,0.119,0,0,0,0.392,0.135,0.96,0.76,0.994
EP300,SMAD4,9606.ENSP00000263253,9606.ENSP00000341551,0,0,0,0,0.204,0.826,0.5,0.924,0.994
HRAS,SRC,9606.ENSP00000407586,9606.ENSP00000362680,0,0,0,0,0.102,0.496,0.9,0.891,0.994
JUN,NFKB1,9606.ENSP00000360266,9606.ENSP00000226574,0,0,0,0,0.093,0.292,0,0.992,0.994
SQSTM1,VDAC1,9606.ENSP00000374455,9606.ENSP00000378487,0,0,0,0,0.087,0.51,0.8,0.95,0.994
MAPT,SNCA,9606.ENSP00000340820,9606.ENSP00000500990,0,0,0,0,0.079,0.817,0,0.97,0.994
HSPA4,HSPB8,9606.ENSP00000302961,9606.ENSP00000281938,0,0,0,0,0.067,0.071,0,0.994,0.994
SP1,TP53,9606.ENSP00000329357,9606.ENSP00000269305,0,0,0,0,0.065,0.923,0,0.928,0.994
HSPA4,SNCA,9606.ENSP00000302961,9606.ENSP00000500990,0,0,0,0,0.059,0.828,0,0.97,0.994
MAP2K7,MAPK8IP3,9606.ENSP00000381070,9606.ENSP00000481780,0,0,0,0,0.059,0.65,0.9,0.848,0.994
OPTN,SQSTM1,9606.ENSP00000368022,9606.ENSP00000374455,0,0,0,0,0.058,0.438,0,0.991,0.994
EGFR,HRAS,9606.ENSP00000275493,9606.ENSP00000407586,0,0,0,0,0.053,0.315,0.9,0.931,0.994
AKT1,TP53,9606.ENSP00000451828,9606.ENSP00000269305,0,0,0,0,0.049,0.184,0.9,0.934,0.994
CREBBP,JUN,9606.ENSP00000262367,9606.ENSP00000360266,0,0,0,0,0.049,0.839,0,0.969,0.994
ELK1,MAPK1,9606.ENSP00000366182,9606.ENSP00000215832,0,0,0,0,0.049,0.927,0.9,0.263,0.994
HDAC1,REST,9606.ENSP00000362649,9606.ENSP00000311816,0,0,0,0,0.049,0.535,0.8,0.948,0.994
SP1,TBP,9606.ENSP00000329357,9606.ENSP00000230354,0,0,0,0,0.049,0.501,0.9,0.9,0.994
MAPK14,TP53,9606.ENSP00000229795,9606.ENSP00000269305,0,0,0,0,0.046,0.818,0.9,0.744,0.994
HTT,TAF4,9606.ENSP00000347184,9606.ENSP00000252996,0,0,0,0,0.042,0.51,0.8,0.948,0.994
HSP90AA1,LRP1,9606.ENSP00000335153,9606.ENSP00000243077,0,0,0,0,0,0.421,0,0.99,0.994
ALDOA,ALDOC,9606.ENSP00000496166,9606.ENSP00000378731,0,0,0.05,0.981,0.086,0.889,0.9,0.404,0.993
MAP3K1,MAPK8,9606.ENSP00000382423,9606.ENSP00000378974,0,0,0,0.58,0.049,0.836,0.9,0.628,0.993
CLPB,GRPEL1,9606.ENSP00000294053,9606.ENSP00000264954,0.12,0,0,0,0.83,0.102,0,0.955,0.993
EPRS1,MRPL13,9606.ENSP00000355890,9606.ENSP00000306548,0.119,0,0,0,0.614,0.463,0,0.966,0.993
DNAJA2,HSPA8,9606.ENSP00000314030,9606.ENSP00000437125,0.041,0,0.392,0,0.3,0.835,0.563,0.813,0.993
ALDOC,GAPDH,9606.ENSP00000378731,9606.ENSP00000380070,0.079,0,0,0,0.279,0.091,0.938,0.862,0.993
